Shriram Blood Bank,Maharashtra,AKOLA,Akola,"T. K. Chambers, Ratanlal Plot, Akola ",444005,,21.106181,77.072925
Akola Diagnostic Centre Blood Bank and Component Lab,Maharashtra,AKOLA,Akola,"Shivshirsh, Opposite to Gajanan Hospital, Ramnagar, Akola
",444001,akoladiagnostic@rediffmail.com,20.70644,77.011207
Dr. Mankar Memorial Blood Bank,Maharashtra,AKOLA,Akola,"Mankar Hospital, 2nd Floor, Dr. Mankar Smruti Building, Aastha Hospital, Opposite to Khandelwal CT-Scan Centre, Amanakha Plot,  Civil Line, Akola",444001,,20.724952,77.04278
Dr. Hedgewar Blood Bank,Maharashtra,AKOLA,Akola,"Balaji Plot  SBI Colony No - 1,  Near Jathat Peth,  No.1 Akola
",444005,,21.140578,79.060506
ICON Blood Bank - Ganediwal Charitable Trust,Maharashtra,AKOLA,Akola,"Ganediwal Charitable Trust, ICON Blood Bank, ICON Hospital, Kedia Plot, Akola",444 001,iconakola@rediffmail.com,20.713446,77.011958
Sai Jeewan Blood Bank,Maharashtra,AKOLA,Akola,"Shri Balyogi Shikshan Prasarak Mandal Charitable Trust, Akola",,,,
District General Hospital Blood Bank Amravati,Maharashtra,AMRAVATI,Amravati,"Dr. Babasaheb Ambedkar Chowk, District General Hospital Blood Bank, Amaravati",444601,cs_amravati@rediffmail.com,20.93386,77.760815
Shri Balaji Blood Bank & component lab Amravati,Maharashtra,AMRAVATI,Amravati,"1st Floor, Alsi Complex, Ambapeth, Amravati
",444601,"drckdara@yahoo.com,",20.928177,77.756362
Dr. P.D.M.H.C. Hospital and Research Centre Blood Bank,Maharashtra,AMRAVATI,Amravati,"Block-A,1st Floor, Shivaji Nagar, Amravati 
",440603,sandippatil@gmail.com,20.923,77.816645
Sant Gadgebaba Blood Bank and Component Centre Badnera,Maharashtra,AMRAVATI,Amravati,"Opposite to Shrihari Hospital, Juni Vasti (Old Town), Badnera  Amravati
",444701,sopanblood@gmail.com,20.794116,77.709547
Dr. Late Sadanadaji Burma Memorial Blood Bank,Maharashtra,AMRAVATI,Amravati,"Plot No- 53, Sheet No-20c, Gvalipura,  Sadar Bazar, Paratwada, Amravati
",444805,rsburma@yahoo.co.in,21.298921,77.518316
Regional Blood Bank Government Medical College and Hospital,Maharashtra,AURANGABAD,Aurangabad,"Regional Blood Bank Government Medical College and Hospital, Aurangabad, (GHATI)",431001,bbgmchabad@gmail.com,19.890542,75.317164
Mahatma Gandhi Mishan (MGM) Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Mahatma Gandhi Mishan Medical College & Hospital Blood Bank, N-6, Town Center,  CIDCO,  Aurangabad ",431003,drcpbhale@rediffmail.com,19.877896,75.354519
Dattaji Bhale Blood Bank - Hedgewar Hospital,Maharashtra,AURANGABAD,Aurangabad,"C/o. Dr. Hegdewar Rugnalaya Campus, Near Gajanan Mandir, Jawahar Colony Road, Garkheda Parisar,  Aurangabad
",431005,mahendrasingh-chauhan@hedgewar.org,19.876165,75.343313
Lokmanya Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Gopinath Chember,  Basement Floor, Behind Jaydev Travels, Adalat Road,  Aurangabad ",431005,adm.lokmanya@gmail.com,19.872123,75.323251
Seth Nandlal Dhoot Hospital Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Plot No A-1, MIDC Chikalthana, Jalna Road, Aurangabad
",431210, bloodbank@dhoothospital.com,19.872742,75.387668
Arpan Voluntary (Marathwada)  Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"2nd Floor, Soniya Chambers, Near Uddhanpula, Seven Hills, Jalna Road, Aurangabad
",431001,nandkishor@arpanbloodbank.org,19.875504,75.352445
Amruta Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Shop No- 102/103, 1st Floor ,Nano Comlex Near Shanoormiya Arga, Vegetable Arket, Shahnoorwadi, Aurangabad
",431001,amrutabloodbank@gmail.com,19.855842,75.338268
Aurangabad Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"Opposite to Sparsh Hospital, Jawahar Nagar Akashwani Aurangabad
",431001,aurangabadbloodbank@gmail.com,19.873384,75.344972
Lions Blood Bank,Maharashtra,AURANGABAD,Aurangabad,"1st Floor, above Lions  Balsadan, Near Teg Bahadur English School, Osmanpura, Aurangabad ",431005,lionsbloodbank0708@gmail.com,19.87244,75.323188
Civil Surgeon General Hospital Blood Bank,Maharashtra,BEED,Beed,"Civil Surgeon District General Hospital, Barshi Road, Beed  ",431122,bloodbankbeed@rediffmail.com,18.986918,75.75332
Swami Ramanand Tirth Arben Medical College Hospital Blood Bank,Maharashtra,BEED,Beed,"Swami Ramanand Tirth Arben Medical College Hospital Ambajogai Tq. Ambajogai,  Beed",431517,srtrgmcbb@gmail.com,18.731377,76.370902
Vaidynath Blood Bank,Maharashtra,BEED,Beed,"Mundhe Children Hospital, Near Dube Petrol Pump, Jai Nagar, Parli-Vaijnath, Beed",431515,,18.842659,76.535058
Navjivan Blood Bank,Maharashtra,BEED,Beed,"Plot No 2-10-240 1 st Floor, Jalna Road, Opposite to M.S.E.B. Office, Beed ",431122,,19.000048,75.755254
Arpan Blood Bank Beed,Maharashtra,BEED,Beed,"3rd Floor, Thorat Multispeciality Hospital, D.P. Road, Anand Nagar, Ambejogai, Dist - Beed,
",431517,nandkishor@arpanbloodbank.org,18.725503,76.390737
Civil Hospital Bhandara Blood Bank,Maharashtra,BHANDARA,Bhandara,"General Hospital Blood Bank, Bhandara
",441904,bloodbank_bhandara@rediffmail.com,21.162022,79.65973
Jeevandhara Buldana Urban Blood Bank,Maharashtra,BULDHANA,Buldana,"1st Floor, DSD City Mall, Above Bank of India, Tehsil to Stadium Road, Buldhana 
",443001,maheshbhakkad@gmail.com,20.532707,76.180604
Government Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Shegaon Road, Khamgaon, Buldhana",444303,"ghkbb134@gmail.com, ms_ghkhamgaon@rediffmail.com",20.708409,76.566704
Saibai Mote General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"Saibai Mote General Hospital, Shegaon, Buldhana",444203,,20.795868,76.696688
Civil Surgeon District General Hospital Blood Bank,Maharashtra,BULDHANA,Buldhana,"General Hospital Blood Bank Buldhana, Near Prabadhan School, Bhonde Sarakar Chauk Bhuldhana(M.S)",443001,cs_buldhana@rediffmail.com,20.533583,76.187482
Dr. Murlidhar Kharche Memorial Jeevan Jyoti Blood Bank,Maharashtra,BULDHANA,Buldhana,"Bharat Kala Road, Malkapur, Buldhana ",443101,jkpatho@gmail.com,20.886486,76.207174
Lilavati Blood Bank,Maharashtra,BULDHANA,Buldhana,"John Lay Out, Jamrnn Road, Near Bus stand, Buldhana",443001,,20.534727,76.172461
Shri. Brahman Swrankar Samaj Trust Blood Bank,Maharashtra,BULDHANA,Khamgaon,"Farshi, Main Road, Khamgaon, Buldhana",444303,,20.543402,76.170956
General Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Government General Hospital Blood Bank, Near Chota Bazar, Main Road, Mahatma Gandhi Marg, Chandrapur",442402,bbchandrapur@gmail.com,19.953683,79.296742
Ankur Hospital Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Balaji Ward, Chandrapur",442402,ankurhospital@rediffmail.com,19.970044,79.30788
Dr. Ninawe Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Niwane Hospital, Near Benglur Bakery, Kasturba Road, Chandrapur",442402,,19.957547,79.295961
Christanand Education Society Blood Bank,Maharashtra,CHANDRAPUR,Chandrapur,"Christanand Education Society Blood Bank,  Christanand Hospital, Gujri Ward No.2, Brahmapuri",441206,christanandhosp@gmail.com,20.607715,79.855757
Shahada Blood Bank (Whole Human Blood),Maharashtra,DHULE,,Shahada,,,21.554796,74.472875
Shri Bhausaheb Hire Government Medical College and Hospital Blood Bank,Maharashtra,DHULE,Dhule,"Civil Hospital Compound, Sakri Road Dhule",424001,bloodbankdhule@gmail.com,20.863814,74.761869
Jawahar Medical Foundation Blood Bank,Maharashtra,DHULE,Dhule,"Hutatma Shririshkumar Nagar, Opposite to Jawahar Suthgirani, Morane, Sakri Road, Dhule",424001,acpm@rediffmail.com,20.90361,74.741293
Jeevan Jyoti Blood Bank,Maharashtra,DHULE,Dhule,"3252 Agra Road, Near Prabhakar Theater",424001,bb_jyoti@yahoo.com,20.897883,74.775354
Nirnay Janseva Blood Bank,Maharashtra,DHULE,Dhule,"Fulwala Chowk, (C.S.No.1415/A/1/A) Lane No. 4  Dr. Odhekar Building, Agra Road",424001,nirnayjansevabloodbank@gmail.com,20.904116,74.77767
Arpan Blood Bank,Maharashtra,DHULE,Dhule,"Atul Medical and Rehabilitation Society, Arpan Blood Bank,  Jain Oswal Boarding, Ganpati Road, Near Santoshi Mata Mandir, Dhule, Nashik ",424001,,20.904116,74.77767
 Late  Shri Mukeshbai Patel Blood Bank ,Maharashtra,DHULE,Dhule,"Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha, Late  Shri Mukeshbai Patel Blood Bank, 1st Floor, Agrasen  Patpedhi, Maharaja Complex  Shirpur, Dhule ",424001, bb_shirpur@yahoo.com,21.458578,74.961094
Sub-District Rural Hospital Blood Bank,Maharashtra,GADCHIROLI,Gadchiroli,"Aheri, At Post and Tal., Aheri, Gadchiroli",442705,ms.sdhaheri@gmail.com,19.414671,80.003753
Civil Surgeon - General Hospital Blood Bank,Maharashtra,GADCHIROLI,Gadchiroli,"Gadchiroli, General Hospital Blood Bank, Gadchiroli",442605,bloodbankgadchiroli@gmail.com,20.170208,79.982909
Bai Gangabai Ladies Hospital Blood Bank,Maharashtra,GONDIA,Gondia,"Gondia, Bai Gangabai Ladies Hospital Blood Bank, Civil Lines,  Gondia",441601,msbgwhgondia@gmail.com,21.459648,80.196834
Civil Surgeon - District General Hospital Blood Bank,Maharashtra,HINGOLI,Hingoli,"Akola Road Risala Bazar, Hingoli",431513,Bloodbankhingoli@gmail.com,19.721787,77.154487
Civil Hospital Blood Bank,Maharashtra,JALGAON,Jalgaon,"Civil Hospital Blood Bank, Dixit Wadi, Zilha Peth, Jalgaon",425001,,21.00845,75.568216
Madhavrao Golwalkar Swayamsevi Blood Bank,Maharashtra,JALGAON,Jalgaon,"11-255-J-JMP Market, Chitra Chowk, Near Kombadi Bazar, Jalgaon",425001,,21.016507,75.564845
Jeevan Surabhi Blood Bank,Maharashtra,JALGAON,Jalgaon,"Kargaon Road, Laxmi nagar,  Chalisgaon, Jalgaon",424101,jsbb@live.in,20.464642,74.998859
Jeevanshri Raktapedi,Maharashtra,JALGAON,Jalgaon,"Ist Floor, Rasmanju Complex, Bhagwat Road, Amalner ",425401,,21.045399,75.063926
Dhanwantri Blood Bank,Maharashtra,JALGAON,Jalgaon,"H. No. 5/464/1, T. P. Scheme, No-1, Survey No 124/1/3A Plot No. 777/3, Jamner Road, Rangoli Hotel, Jawal Anand Nagar Bhusawal, Jalgaon ",425201,bloodbank308@yahoo.com,21.034297,75.781029
Godavari Foundation Blood Bank,Maharashtra,JALGAON,Jalgaon,"Hospital Building, 2nd Floor, Gate No. 315/316/321/305 Jalgaon - Bhsawal Road, N.H. No. 6,  Jalgaon (kh) ",425309,,21.023689,75.705103
Indian Red Cross Society Blood Bank,Maharashtra,JALGAON,Jalgaon,"Near Civil Hospital, Athwadi Bazar, Opposite to B.J.Market, Jalgaon",425001,ircs_jal@yahoo.in,21.011122,75.567945
M/s. Jalgaon Blood Bank and Component,Maharashtra,JALGAON,Jalgaon,"Near Mahesh Pragati Bhavan, Ring Road, Jalgaon",425002,jalgaon.bb@gmail.com,21.00408,75.493766
Askaran Tarachand Jain Blood Bank,Maharashtra,JALGAON,Jalgaon,"Jawahar Market, First Floor, Near Police Station Chopda, Jalgaon",425107,,21.008464,75.568216
Civil Surgeon General Hospital Blood Bank,Maharashtra,JALNA,Jalna,"Balod Bank Survey No-488, Infront of Collector Office, Civil Hospital, Jalna  ",431203,,19.84031,75.888795
Jankalyan Blood Bank,Maharashtra,JALNA,Jalna,"Wing No. 03, S. No. 224, Shri Chatrapati Shivaji Maharaj Bazar Sankul, Old Cotton Market Yard",431203,jalnajankalyan@gmail.com,19.867491,75.879779
Noor Hospital Blood Bank,Maharashtra,JALNA,Jalna,"Aurangabad - Jalna Road, Warudi, Tq- Badnapur, Jalna",431202,"iimsk11@gmail.com, iimsr11@gmail.",19.860878,75.664447
Rajashri Chatrapati Shahu Maharaj Government Medical College and Chatrapati Pramilaraje General Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Dasara Chowk, Somwar Peth, C. P. R. Hospital Compound, Kolhapur
",416001,rcsmgmc.cprbloodbank@gmail.com,16.701443,74.227074
Late Balasaheb Datye - Lions Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"5/468, Datye Mala, Lions Park,  Ichalkaranji, Tal-Hatkanangale, Kolhapur
",416115,lbbank89@gmail.com,16.681682,74.467741
Rajarshi Shahu Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Rotary Samaj Seva Centre, 253, K.E.Assembly Road, Kolhapur
",416002,rsbbkop@gmail.com,16.691308,74.244866
Mahatma Gandhi Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"At Post - New Pargaon, TQ-Hatkanangale, Kolhapur",416137,mghbbnewpargaon@gmail.com,16.86221,74.240034
Annasaheb Galatge Lions Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Doctor&#39;s Colony, Gadhinglaj, Kolhapur",416502,annasahebg@gmail.com,16.186455,74.372559
Acharya Shree Tulsi Blood Bank ,Maharashtra,KOLHAPUR,Kolhapur,"Gate No.1232 Sangli - Kolhapur Road, Jaysingpur Udgaon, Kolhapur
",416101,tulsiblood@rediffmail.com,16.785709,74.56459
Dr. D. Y. Patil Hospital Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"Kadamwadi, Kolhapur",416003,dypihbt@yahoo.com,16.715186,74.256447
Arpan Blood Bank - Blood Component and Apheresis Centre Kolhapur,Maharashtra,KOLHAPUR,Kolhapur,"1st Floor, Saroj Appartment, Subhash Road 1315, &#39;C&#39; Ward,  Opposite to Shramik Bhavan, Laxmipuri, Kolhapur",416001,babasahebaghav@gmail.com,19.189209,72.97706
Sai Seva Medical Foundation - Vaibhavlaxmi Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"1036/A, E- Ward, 1st  Floor, Deccan Engineering, Opposite to Parvati Multiplex, Rajaram Road, Kolhapur
",416001,,19.205274,72.840465
Kolhapur Municipal Corporation Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"C.T.S. 83 D-Ward, Near Kasba Gate Police, Chowky, Kolhapur
",416002,kmcbloodbank@ymail.com,16.698607,74.223891
Sanjeevan Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"250/B/65  First Floor, Lucky Naresh Banglow, Opposite to Collector Office, Nagala Park, Kolhapur, 
",416002,ssfarakte@yahoo.in,16.706599,74.231346
Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank,Maharashtra,KOLHAPUR,Kolhapur,"M/s Adhar Blood Bank, 1st Floor, C.S. No. 16432 / 1, H No. 12/966, C/o. Dr. Dilip Joshi Hospital, Sambhaji Chowk, Rajaram Road, Ichalkaranji, Tal - Hatkanangle, Kolhapur",416115,adharbbi@gmail.com,16.680271,74.461733
Government Medical College General Hospital Blood Bank,Maharashtra,LATUR,Latur,"Blood Bank, Government Medical College & Hospital, Old Railway Station,  Gandhi Chowk, Latur",413512,"bloodbankgmclatur@yahoo.co.in, csnrhmlatur@rediffmail.com",18.39451,76.578201
IRCS - Dr. Bhalchandra Blood Bank,Maharashtra,LATUR,Latur,"Red Cross Bhavan, Gandhi Market, Latur ",413512,"ircslatur@gmail, bhalbloodbank@rediffmail.com",18.401208,76.580639
Smt. Saraswati Karad Blood Bank,Maharashtra,LATUR,Latur,"MIMSR Medical College and Y.C.R. Hospital, Vishwanath Puram,  Ambejogai Road, Latur",413512,bloodbank@mimsr.edu.in,18.429485,76.577846
IRCS Nagappa Amberkhane Blood Bank,Maharashtra,LATUR,Latur,"Banshelki Road Near Nalegaon Railway Crossing Gate Udgir, Latur ",413517,bloodbankudgir@yahoo.com,18.392306,77.106985
Arpan Blood Bank Latur,Maharashtra,LATUR,Latur,"H.No R-3-1030,  Old Sonawane Hospital, Near  Ashok Hotel, Main Road, Latur",413512,balbhim.chavan@arpanbloodbank.org,18.408491,76.551573
Mauli Blood Bank,Maharashtra,LATUR,Latur,"Gayatri Hospital, Barshi Road, Latur ",413512,maulibloodbanklatur@gmail.com,18.451173,73.89143
Global Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"No. 35, Dr. Ernest Borges Road, Hospital Avenue, 
Opposite to Shirodkar High School, Parel, Mumbai.",400012,,18.999282,72.840787
ACTREC,Maharashtra,MUMBAI,Mumbai,"Department of Transfusion Medicine, ACTREC, 
Tata memorial centre, 
Sector 22 Kharghar, 
Navi Mumbai.",410210,,19.065019,73.064508
Ashirwad Blood Bank,Maharashtra,MUMBAI,Mumbai,"Imperial Mahal, 2nd Floor  Above Shabana Stores, Khodadad Circle, Dr. B. A. Ambedkar Road, Dadar TT,  Mumbai",400014,,19.017341,72.848164
Asian Heart Institute and Research Center,Maharashtra,MUMBAI,Mumbai,"ICICI Tower,  Bandra Kurla Complex, Bandra (E) Mumbai",400051,,19.065253,72.860832
B.S.E.S M.G. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Rotary D. G. Goenka Blood Bank, Near Railway Station Andheri (W), Mumbai",400058,,19.119457,72.844948
Bandra Holy Family Hospital Society Blood Bank,Maharashtra,MUMBAI,Mumbai,"Saint Andrews Road, Bandra, Mumbai",400050,,19.055059,72.827202
Bhabha Atomic Research Centre Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"BARC Hospital, Anushakti Nagar Mumbai",400094,,19.042464,72.914358
Bhatia General Hospital and Blood Bank,Maharashtra,MUMBAI,Mumbai,"Tukaram Javji Road, Tardeo, Mumbai",400007,,,
Bombay Hospital Trust Blood Bank,Maharashtra,MUMBAI,Mumbai,"12, New Marine Lines Mumbai",400020,,18.94103,72.82816
Borivali Blood Bank (Doshi Memorial Charitable Trust),Maharashtra,MUMBAI,Mumbai,"3,4,5, Vithal Apartment, Near Ram Mandir, Mandpeshwar Road, Opposite, Flyover,  Borivali (w) ",400103,,19.199816,72.845937
Breach Candy Hospital And Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"60 A, Bhulabhai Desai Road, Mumbai",400026,,18.972677,72.804312
B. Y. L. Nair Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"New OPD Building. 2nd Floor, Dr. A. L. Nair Road Mumbai Central, Mumbai ",400008,,18.974279,72.822573
Cama and Albles Hospital - Abdul Fazalbhoy Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahapalika Marg, Mumbai CST",400001,,18.941948,72.832185
Cumbala Hill Hospital And Heart Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"93-95, August Kranti Maidan, Mumbai",400036,,,
Dr. Babasaheb Ambedkar Memorial Hospital - Central Railway Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Central Railway Byculla, (E) Mumbai",400027,,,
Dr. L. H. Hiranandani Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Hill Side Avenue, Hiranandani Gardens, Powai ",400076,,19.120591,72.917105
ESIC Model Hospital cum ODC Blood Bank,Maharashtra,MUMBAI,Mumbai,"Room No. 20/A, 1st Floor, ESIC Model Hospital cum ODC & PGIMSR, Central Road, M.I.D.C, Opposite to MIDC Police Station, Andheri (East), Mumbai ",400 093,esicbloodbank.andheri93@gmail.com,19.118392,72.86724
Fortis Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mulund Goregaon Link Road, Nahur , Mumbai ",400078,bloodbank.mul@fortishealthcare.com,19.162122,72.942063
G. T. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Near L.T.Marg Police Station, Mumbai",400001,,18.946532,72.833317
Harilal Bhagwati Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"S. V. P. Road, Borivali-W, Mumbai",400103,,19.245458,72.856027
Suburban Hi-tech Blood Bank,Maharashtra,MUMBAI,Mumbai,"Shagun Building, 2nd Floor, 206, Rani Sati Road, Malad (E)",400097,,19.183781,72.849166
Holy Spirit Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahakali  Road, Andheri (E), Mumbai",400093,,19.128442,72.866496
Indian Red Cross Society Bombay City Branch Blood Bank,Maharashtra,MUMBAI,Mumbai,"Blood Centre, 141, Shahid Bhagatsingh Road, Town Hall Compound, Near R.B.I. Fort",400001,,18.932476,72.836574
INS - Ashwini Blood Bank,Maharashtra,MUMBAI,Mumbai,"Near R. C. Church, Colaba, Mumbai",400005,,18.901263,72.815698
Jaslok Hospital And Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"15, Dr. G. Deshmukh Marg, Mumbai",400026,,18.971653,72.809968
K. B. Bhabha General Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"R. K. Patkar Marg, Bandra (W), Mumbai",400050,,19.057493,72.833636
K. J. Somaiya Medical College and Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Somaiya Ayurvihar Complex, Eastern Express Highway, Sion, Mumbai ",400022,,19.047282,72.874706
K. E. M. Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",400012,,19.001515,72.841877
Kohinoor Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Upper Basement, Room No. 29 to 43, Kirol Road, Off L.B.S Marg, Kurla (w)",400070,,19.076212,72.886208
Kokilaben Dhirubhai Ambani Blood Bank,Maharashtra,MUMBAI,Mumbai,"4 Bunglows, Achutrao Patwardhan Marg, Andheri (west), Mumbai ",400053,,19.131221,72.824772
Lilavati Hospital and Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"A 791, Bandra Reclamation, Bandra (W), Mumbai",400050,,19.051089,72.828889
Lokmanya Tilak Municipal Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"O. P. D. Building, 1st Floor, Sion (W), Mumbai",400022,,19.036984,72.859049
Mahatma Gandhi Seva Mandir Blood Bank,Maharashtra,MUMBAI,Mumbai,"Mahatma Gandhi Seva Mandir Hospital, 2nd Floor, Opposite to Bandra Lake, S. V. Road, Bandra (W), Mumbai  ",,,19.055801,72.836932
Manas Serological Institute Blood Bank,Maharashtra,MUMBAI,Mumbai,"CTS NO-167 / 168 / A1, 101-104, Grace Plaza, S. V. Road, 
Near Railway Phatak, Jogeshwari (W), Mumbai ",400102,,19.13522,72.848108
Masina Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Sant Savta Marg, Byculla (E) ",400027,"bloodbankmasina@gmail.com, bloodbankmasina@rediffmail.com",18.974886,72.835711
Mumbai Port Trust Blood Bank,Maharashtra,MUMBAI,Mumbai,"Nadkarni Park, Wadala (E) Mumbai",400037,,,
N.  Wadia Maternity  Hospital Blood Bank,Maharashtra,MUMBAI,Mumbai,"Acharya Donde Marg, Parel, Mumbai",400012,wadiabloodbank@gmail.com,19.003238,72.842837
Matoshri Valbai Mulji Shah - Arpan Blood Bank,Maharashtra,MUMBAI,Mumbai,"Aniraj Tower,  Janta Market, L.B.S Marg, Bhandup (W), Mumbai",400078,,19.142653,72.933304
Navjivan Blood Bank and Lab,Maharashtra,MUMBAI,Mumbai,"Shop No.1, Abhilasha II, Punjabi Lane Borivali (W)",400092,,19.23024,72.852643
P. D. Hinduja National Hospital And Medical Research Centre Blood Bank,Maharashtra,MUMBAI,Mumbai,"Veer Savarkar Road, Mahim (W), Mumbai",400016,,19.033615,72.838105
Meenatai Thackeray Blood Bank - Siddharth Hospital,Maharashtra,MUMBAI,Mumbai,"Siddharth Nagar, Prabhodhan Kridabhawan Marg,
Goregaon (W)",400104,,19.159649,72.840284
