 Blood Bank Name, State, District, City, Address,Pincode, Contact No, Email, Latitude, Longitude
Indian Red Cross Society,Andhra Pradesh,CHITTOOR,Chittoor,"The Secretary, Indian Red Cross Society, D:No:20-119, PH Road, Redcross Building, Chittoor 517 001, Andhra Pradesh Dr.M.V.Narayana Reddy (MO), Ph:08572 220287",517001,8572220287,indian red cross society indian red corss society ,13.217176,79.100329
M/s IRCS Blood Bank.,Andhra Pradesh,CHITTOOR,Chittoor,"D.No. 20 - 119, Prakasam High Road, Chittor",517001,08572 220287 ,ircschittoor@gmail.com,13.21698,79.100764
M/s PESIMSR Blood Bank.,Andhra Pradesh,CHITTOOR,Kuppam,"PES Institute of medical sciences premises, Kuppam
",517425,08570 256737,pathpesimsr@gmail.com,12.791223,78.363897
Blood Bank AH Madanapalli,Andhra Pradesh,CHITTOOR,Madanapalli," The Blood Bank Medical Officer, Area Hospital, Patel Road, Madanapalli 517 325, Chittoor Dist. , Andhra pradesh Dr.Laxmiprasadreddy9(M.O)",517325,8571222087,  ircsbbmpl2009@gmail.com,13.217176,79.100329
"Indian Red Cross Society, Madanapalli RCH 2",Andhra Pradesh,CHITTOOR,Madnapalli,"Area Hospital, Patel Road, Madanapalli.
",517325,08571 222087, ircsbbmpl2009@gmail.com,13.556927,78.50085
"Aswini Hospital Blood Bank, TTD",Andhra Pradesh,CHITTOOR,Tirumala,"Tirumala Tirupati Devastanam (TTD), Tirumala, Chittoor ",517507,9490651605,suresh.bandapalli@gmail.com,13.677292,79.3487
SVRRGGH - Model Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"S.V.R.R. Government General Hospital, Tirupati
",517502,0877 2286290,modelbloodbanktpt2010@gmail.com,13.644382,79.407003
Sri Venkateswara Institute of Medical sciences Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Sri Venkateswara Institute of Medical Sciences (SVIMS) Campus, Tirupati",517507,0877 2287777,svimshosp ,13.637934,79.403917
Govt Maternity Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Ruia Hospital Road, Tirupati",517507,,supdtgmhtirupati@yahoo.com,13.639418,79.409372
 TTD Central Hospital Blood Bank,Andhra Pradesh,CHITTOOR,Tirupati,"Tirumala Tirupati Devastanam (TTD), Kapil Teertham Road, Tirupati
",517501,0877 2264622,ttdcentralhospital@gmail.com,13.642148,79.421067
S.V.S. Charitable Trust Blood Bank and Transfusion Centre,Andhra Pradesh,CHITTOOR,Tirupati,"10-13-514, 1st Floor, Reddy & Reddy Colony, Tirupathi",517501,0877 6667671 ,svsctbloodbank@gmail.com,,
Government Hospital,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Amalapuram",533201,,bloodbankahamp@gmail.com,16.587432,82.008431
"M/S. Kims & Research Foundation, Hospital Blood Bank",Andhra Pradesh,EAST GODAVARI,Amalapuram,"Kims & Research Foundation, Hospital Blood Bank, Sy.No:813 & 817, Kamanagaruvu, Near Red Bridge, Amalapuram.",533201,"08856 237996, 08856 237997, 08856 237998",Principal07kims@yahoo.co.in,16.592169,82.024025
M/s. A.P.V.V.P Area Hospital Blood Bank  ,Andhra Pradesh,EAST GODAVARI,Amalapuram,"Ground Floor Area Hospital, Amalapuram",533201,,,16.575367,81.998101
"M/s. Government General Hospital, Blood Bank.",Andhra Pradesh,EAST GODAVARI,Kakinada,"Government General Premises, Ground Floor, Kakinada",533001,0884 2302008,bloodbankgghkkd@gmail.com,16.955537,82.22748
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,EAST GODAVARI,Kakinada,"D.No: 8-14-39, Ground & 1st  Floor, Red Cross Street, Gandhi Nagar, Kakinada",533004,0884 2385800,nraopydah@yahoo.co.in,16.989065,82.247465
M/s. Rotary Blood Bank (Rotary Club Golden Jubilee Charitable Trust),Andhra Pradesh,EAST GODAVARI,Kakinada,"Second Floor, D.No:15-8-3, Brahmarishi Road, Satya Prasanna Nagar, Kakinada
",533001,"0884 2367366, ",,,
District Headquarters Hospital,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"Blood Bank Medical Officer, Blood Bank, District Headquarters . Hospital, Rajahmundry",533101,,govtbloodbank.rjy@gmail.com,17.019708,81.791631
M/s. G. S. L. Medical College General Hospital Blood Bank,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"No-16, Lakshmi Puram, Rajanagaram, Rajahmundry.",533296,0883 2484999,,,
"M/s. Swatantra Hospital,  Blood Bank",Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No: 46-13-31,1st Floor, Gowthami Scan Centre Private Limited, Near Gandhi Park,  Danaviepeta, Rajahmundry.",533103,"0883 2464745, 0883 246569878, 0883 2461493",,,
M/S. Dhanwantari Voluntary Blood Bank.,Andhra Pradesh,EAST GODAVARI,Rajahmundry,"D.No:46-21-1,2nd Floor, Danavaiepeta, Rajahmundry",533103,0833-2473050,dvbbrjy@gmail.com,15.03.2017,17.00787
M/s. Government Area General Hospital Blood Bank.,Andhra Pradesh,EAST GODAVARI,Tuni,"M/s.Government Area Hospital Blood Bank, Area hospital, Tuni
",533401,08854 252333,tunibloodbank@yahoo.com,17.354937,82.541241
M/s. Sakthi Voluntary Blood Bank (Sakthi Association for Social Awarness),Andhra Pradesh,EAST GODAVARI,Tuni,"D.No: 3-5-9, Opposite to Raithu Bazar, Lalam Satyanarayana Hospital Street, Tuni
",533401,08854 251123,,,
Government General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur,"Opposite to Railway Station, 1st Floor, C/o Government General Hospital, Guntur.
",522001,0863 2220035 (Ext No: 280),bloodbank.ggh.gnt@gmail.com,16.299747,80.443689
Indian Red Cross Society,Andhra Pradesh,GUNTUR,Guntur,"Blood Bank Medical Officer, Blood Bank, Indian Red Cross Society, Guntur, District Guntur",522004,,redcrossbloodbankguntur@yahoo.co.in,16.306653,80.43654
Indian Red Cross Society Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"Zilla Parishad Compound, Nagarampalem, GUNTUR
",522004,0863 2215656,,16.306653,80.43654
Lions Club of Guntur Vision Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Somuvari Street, Kothapeta, Guntur",522001,"0863 2336198, 0863 2336199 ",,,
Padmavathi Day & Night Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Head Post Office, Behind Veterinary Hospital, Kothapeta ",522001,,,,
M/s. Needs Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"1st Floor, Honda Show Room Building, Opposite Doctor Plaza, Kothapeta
",522001,"0863 6638222, 0863 6639222",needsbloodbankguntur@gmail.com,16.29882,80.448888
M/s. Sri Lakshmi Maternity & Surgical Nursing Home Blood Bank ,Andhra Pradesh,GUNTUR,Guntur city,"4th Floor, Behind Sivalayam Temple, Kothapeta
",522001,0863 2219955,,,
Saint Joseph General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Opposite to Andhra Christian College, Near Flyover, Main Road, Guntur
",522001,"0863 2322700, 0863 2320386 ",,16.297514,80.440648
NTR Memorial Trust Blood Bank,Andhra Pradesh,GUNTUR,Guntur city,"Door No. 13-2-87, 1st Line G. V. Thota",522001,0863 2339444 ,,,
Katuri Medical College and Hospital Blood Bank ,Andhra Pradesh,GUNTUR,Guntur Rural,"Katuri Nagar, Chinakondrupadu, Guntur
",522019,"0863 2288555, 0863 2288556 (Ext No. 234) ",katuribloodbank@gmail.com,16.227872,80.30947
NRI Medical College and General Hospital Blood Bank,Andhra Pradesh,GUNTUR,Guntur Rural,"Mangalagiri Mandalam, Chinakakani, Guntur
",522503,"08645 236777, 08645 237401, 08645 230101",,16.413675,80.555675
Manipal Hospital Bloodbank,Andhra Pradesh,GUNTUR,Guntur Rural,"Soumyanagar, Tadepalli, Guntur",522501,0866 2489700 (Ext No.102),,16.484433,80.617219
Indian Red Cross Society Blood Bank. Narassraopet,Andhra Pradesh,GUNTUR,Narasaraopeta,"Area Hospital, Narasaraopeta ",522601,8647224455,nrtbloodbankircs@gmail.com,16.235919,80.048412
NRT Blood Bank,Andhra Pradesh,GUNTUR,Narasaraopeta,"GBR Super Speciality Hospital, 10-1-10/1, Palnadu Road, Narasaraopeta
",522601,9542628888,nrtbioodbank@gmail.com,16.193331,80.019956
Anjireddy Multi Specality Blood Bank ,Andhra Pradesh,GUNTUR,Piduguralla,"Gaganamma Temple, Piduguralla
",522413,08649 254567,,16.478789,79.893642
Red Cross Blood Bank,Andhra Pradesh,GUNTUR,Repalle," Government Hospital Premises
 Repalle-522265
 Guntur Dist,A.P
",522265,08648 223939,rplredcrossbb@gmail.com,16.017425,80.829475
Area Hospital (Repeated),Andhra Pradesh,GUNTUR,Tenali,"Blood Bank Medical Officer,  Blood Bank, Area Hospital, Tenali, Guntur District",522201,,tenalibloodbank@gmail.com,16.239531,80.64934
APVVP District Hospital Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"APVVP District Hospital Premises, Chenchupeta, Tenali, Guntur",522202,,,,
Rudhira Voluntary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"D.No. 7-5-56, KRR Complex, 1st Floor, Opposite ASN college, Prakasam Road, Ganganammapeta, Tenali",522201,"08644 231222, 08644 654123",maruthi_nagalingam@yahoo.com,,16.243428
Best Rotary Blood Bank,Andhra Pradesh,GUNTUR,Tenali,"Mahila Mandali Building, Sarojini Naidu Street, Kothapeta, Tenali 
",522201,,,16.251179,80.64934
Area Hospital Blood Bank,Andhra Pradesh,KRISHNA,Gudivada,Gudivada,521301,08674 245040,areahospital.gudivada@gmail.com,16.349045,81.049715
Dr. Pattabhi Red Cross Blood Bank ,Andhra Pradesh,KRISHNA,Machilipatnam,"DM & HO Campus, Machilipatnam",521001,08672 230605,drprcbloodbankmtm@gmail.com,16.190546,81.136154
Government General Hospital (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"Government General Hospital, Ramavarapadu, Vijayawada - 520007",520007,9866686760,gghbbvij@gmail.com,16.513339,80.618989
Government District Headquarters Hospital machilipatnam blood bank,Andhra Pradesh,KRISHNA,Vijayawada,Machilipatnam,521001, 08672 245040,dhmtmbb@gmail.com,16.176867,81.138647
Rotary Red Cross Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"H.No: 26-5-5, G.S Raju Street, Gandhinagar, Vijayawada - 520003. Krishna District

",520003,"0866 2570082, 0866 6464002",redcrosskrishna@gmail.com,16.506174,80.648015
Vijaya Sri Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"VijayaSri Palace,D. No. 29-19-27/4, Ground Floor, First Floor and Second Floor, Dornakal Road, Suryaraopet, Vijayawada",520002,0866 2433199,vijayasribloodbankvja @gmail.com,16.51304,80.635644
Lions Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"D. No. 29-19-85, 1st & 2nd Floor,Old Janatha Hospital Building, Dornakal Road, Suryaraopet, Vijayawada
",520002,0866 2434417,lionsbloodbank@yahoo.com,16.506174,80.648015
University General Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Ring Road, Gunadala, Vijayawada",520 008,"0866 2452244, 0866 2453488",gghbbvij@gmail.com,,16.516111
M/s. Chaitanya Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"40-9/1-26, Vasavya Complex, Benz Circle, Vijayawada
",520010,"0866 2497977, 0866 645977",,16.498839,80.655488
Nagarjuna Hospital Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"Kanuru, Vijayawada",,0866 2554701,,,
Saint Ann&#39,s Hospital Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,"Punnammathota, Bandhar Road, Vijayawada - 2
",520 002,,31.12.2017,
Rotary Red Cross Blood Bank (Repeated),Andhra Pradesh,KRISHNA,Vijayawada,"26-5-5, G.S. Raju Road, Vijayawada ",520 003,2570082,,,
Dr. Pinnamaneni Siddhartha Insitiute of Medical Sciences & Research Foundation (Dr.P.SIMS & RF) Blood Bank  ,Andhra Pradesh,KRISHNA,Vijayawada,Chinnaoutapalli. ,521286,08676 257311,,16.551655,80.832047
Bethesda Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-2, Ground Floor, Narsimharao Street, Suryaraopet, Vijayawada ",,0866 2435888,,16.512971,80.632664
"Smt CH. Manju Vani Vara Prasad, Lions District 316D Blood Bank ",Andhra Pradesh,KRISHNA,Vijayawada,"H.No.29-4-54K, Conan Dhanvoda Anantham Complex, Prakasam Road, Suryaraopet, Vijayawada",520002,0866 2573636,lionsbloodbank@yahoo.com,16.510309,80.63251
Suraksha Voluntary Blood Bank,Andhra Pradesh,KRISHNA,Vijayawada,"29-10-8, Govinda Rajulu Naidu Street, Suryaraopet, Vijayawada 
",520002,0866 2434499,surakshabloodbank@gmail.com,16.51343,80.632861
M/s Ayush Nri Lepl Health Care Private Limited  ,Andhra Pradesh,KRISHNA,Vijayawada,"First Floor, D. No. 40-13-3& 3A, Ring Road, Sriramachandra Nagar, Vijayawada
",520008,0866 2541414,,,
M/s. Nimra Institute of Medical Sciences ,Andhra Pradesh,KRISHNA,Vijayawada,"Ground Floor, Adjacent to Central Lab, Teaching Hospital & Research Centre, Nimranagar, Jupudi, Ibrahimpatmnam, Vijayawada.Krishna ",521456,"0866 6500000, 0866 6545454",nimrabloodbank@gmail.com,,
"RCH -II Blood Bank, Area Hospital, Adoni",Andhra Pradesh,KURNOOL,Adoni,"Dr. H. Siva Reddy, Civil Surgeon RMO (Rtd),Medical Officer  IRCS, RCH-II, Blood Bank, Area Hospital, Adoni-518301",518301,,drhsivareddy123@gmail.com,15.632223,77.272837
M/s. Indian Red Cross Society Blood Bank RCH 2,Andhra Pradesh,KURNOOL,Adoni,"First Floor, Government Area Hospital, Adoni, Kurnool
",518301,,,15.632223,77.272837
M/s. Government General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,kurnool,518002,,knlgghbloodbank@gmail.comsupdtgghknl@gmail.com,15.820654,78.038088
M/s. Indian Red Cross Society Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"Opposite Ravi Theatre, D.M & H.O Compound, Beside Control Room, Kurnool
",518002,08518 255347,indianredcrossknl@yahoo.com,15.816357,78.040317
M/s. Viswa Bharathi General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"2nd Floor, R. T. Nagar, Near Penchikalapadu (v) Kallur (m), Kurnool ",518002,08518 283964,,,
M/s. Viswa Bharathi Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D. No. 50/760-A-127-13,1st Floor (O.P. Block), Gayathri Estate, Kurnool.",518002,08518 22294,,,
M/s. R.R. Hospital Blood Bank,Andhra Pradesh,KURNOOL,Kurnool,"D.No.40-304-10, 2nd Floor, Bhagya Nagar, Kurnool",518004,08518 223131,,15.82872,78.035743
District Hospital Blood Bank ,Andhra Pradesh,KURNOOL,Nandyal,"District Hospital, Noonepalli, Nandyal, Kurnool
",518502,8514221033,bbdhnandyal@gmail.com,15.469336,78.482935
M/s. Shantiram Medical College & General Hospital Blood Bank,Andhra Pradesh,KURNOOL,Nandyal,"(Shafa Educational Society) NH-18, Nandyal",518501,,,,
Government Hospital Blood Bank,Andhra Pradesh,KURNOOL,Srisailam Project,"Blood Bank Medical Officer,  Blood Bank, Government Hospital, Srisailam Project, Kurnool District",518101,,,16.0833,78.8667
M/s. Area Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Chirala,"Ground Floor, Room No.10, Area Hospital, Chirala, Prakasam ",523155,8520026320,shaikabdulhafiz@gmail.com,15.825971,80.36127
Indian Red Cross Society Blood bank,Andhra Pradesh,PRAKASAM,Markapur,"A.P.V.P. Area Hospital, Cumbum Road, Markapur",523316,08596 223485,ahmarkapur@yahoo.com,15.736154,79.269125
M/s. RIMS General Hospital Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"C/o. RIMS General Hospital , D.No. 8-5-2/A, Opposite Bapuji Kalamandir, Bhagya Nagar, 5th Lane, Ongole
",523001,8592233310,bloodbankrimsongole@gmail.com,15.487882,80.047144
Indian Red Cross Society Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"IRCS Blood Bank, Railway Station Road, SanthaPeta, Ongole, Prakasam
",523001,08592 236093,ircsbbongole@gmail.com,15.505723,80.049922
M/s. Life Line Volunytary Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"D. No.37-1-169/54, 2nd Floor, Sundharaiah Bhavan Raod, Ongole.
",523001,9247023117,ehara.rao0900@gmail.com,15.481367,80.05908
M/s. Belief Blood Bank,Andhra Pradesh,PRAKASAM,Ongole,"3rd Floor, Sai Complex, Addanki Bus Stop, Ongole
",523001,08592 222345,,15.481367,80.05908
Government Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Gudur,"Area Hospital Compound, Gudur
",524101,,ahgudur@yahoo.com,14.146545,79.848756
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society (IRCS) (REPEATED),Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D Office Compound, Kavali.",524201,08626 244766,,,
M/s. APVVP Area Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,Area Hospital Compound Kavali,524201,,,,
M/s. Kanamarlapudi Koteswara Rao Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Kavali,"Survey No.1083/3, R.D. Office Compound, Kavali
",524201,08626 244766,,14.913181,79.99298
Indian Red Cross Society Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Indian Red Cross Society (IRCS) Road, Madras Bus stand, Nellore 

",524003,0861 2320470,redcross_nlr@yahoo.com,14.426777,79.959008
District Headquarters Hospital (Repeated),Andhra Pradesh,SPSR NELLORE,Nellore,"District Headquarters Hospital, Dargamitta, Nellore",524003,,dsrbbnlr@gmail.com,14.435424,79.966831
D.S.R. Headquarters Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Government Hospital Compound, Nellore",524002,0861 2349277,,,
Narayana Medical College & Hospital Blood Bank,Andhra Pradesh,SPSR NELLORE,Nellore,"Narayana Hospital compound, Nellore",524002,0861 2317963,,14.442599,79.986456
Gems Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Ragolu,"Gems Hospital Premises, Ragolu, Srikakulam",532001,,,18.289087,83.9056
GMR Varalakshmi Care Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Rajam,"GMR Varalakshmi Care Hospital Premises, GMR Nagar, Rajam
",532127,"08941 253183, 08941 253184",,18.461272,83.658352
Rajiv Gandhi Institute of Medical Sciences (RIMS) General Hospital Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"RIMS Government Hospital Premises, Balaga, Srikakulam
",532001,08942 279679,bbrimssklm@gmail.com,18.312884,83.887717
Indian Red Cross Society (IRCS) Blood Bank,Andhra Pradesh,SRIKAKULAM,Srikakulam,"D.No. 8-5-2/A, Opposite to Bapuji Kalamandir, Srikakulam


",532001,"08942 226555, 08942 226111",secretary.redcrosssklm@gmail.com,18.296359,83.894549
District Hospital,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,AH- ANAKAPALLI,531001,,bloodbank.ahakp@gmail.com,17.689592,82.997733
M/s. NTR Area Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Anakapalli,"APVVP Hospital Premises, Anakapalli, Visakhapatnam 
",531001,08924 223340,bloodbank.ahakp@gmail.com,17.686427,83.218576
M/s. Visakha Steel General Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"Ukkunagaram, Steel Plant, Visakhapatnam",530032,0891 2887722,,17.662908,83.144127
M/s. INHS Kalyani Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Gajuwaka,"INHS Kalyani Hospital, Gandhigram (PO), Visakhapatnam",530005,0891 2814028,,,
M/s. Anil Neerukonda Hospital  Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Sangivalasa,"Sangivalasa, Bheemunipatnam (M), Visakhapatnam District
",531162,8912821111 (Exte. No. 126),nriims@gmail.com,17.97256,83.432338
M/s. King George Hospital (KGH) Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"King George Hospital, Maharanipeta, Visakhapatnam",530002,0891 2564891,kgh_vsp@ap.nic.in,17.70667,83.303737
M/s. Government Victoria Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"Women & Children Hospital Blood Bank, Visakhapatnam",530001,0891 2562637 ,"VGHBLOODBANK@gmail.com, supdtvgh@gmail.com",17.686816,83.218482
M/s. Indian Red Cross Society Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No:14-35-4, Behind Collecorate, Z..P. Junction, Maharanipeta, Visakhapatnam
",530002,0891 2703953,secretaryvspredcross@gmail.com,17.686816,83.218482
M/s. Rotary Blood Bank (Vishaka Port City Rotary Charitable Trust),Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No: 13-26-2/54, 3rd Floor, Apuroopa Arcade, Near Jagadamba Junction, Maharanipeta, Vishakapatnam
",530002,"0891 6534635, 0891 2506678",rotarybloodbankvsp@gmail.com,17.686816,83.218482
M/s. Apollo Hospital Heart & Kidney Centre Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.10-50-80, 1st Floor, Apollo Hospital, Waltair Main Road, Visakhapatnam. 
",530002,0891 2727272 ,Jhansilaxmi-a@apollohospital.com,17.717084,83.309208
M/s. Seven Hills Hospital Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D.No.11-4-4/A, 5th Floor, Rock Dale Layout, Waltair MainRoad, Visakhapatnam
",530002,0891 6677777,,17.71737,83.309268
 A. S. Raja Voluntary Blood Bank,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No. 10-50-11/5, Ground Floor, 1st, 2nd and 3rd Floor, Beside CARE Hospital, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2543436,0891 6663436,0891 6644936.",asrajavbloodbank@gmail.com,17.720274,83.313048
M/s. Lions Club of Visakhapatnam Blod Bank Trust  ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"D. No.10-54-7, Lions Community Hall, Ram Nagar, Visakhapatnam
",530002,"0891 6692587, 0891 6692580, 0891 6692590",lionsbloodbankvsp@gmail.com,17.719063,83.311286
M/s. N.T.R. Memorial Trust Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam,"P. No. 15B-3-1, Block No. 56, Waltair Main Road, Ramnagar, Visakhapatnam
",530002,"0891 2565858, 0891 2555858",,17.691575,83.238891
M/s. Gitam Institute of Medical Sciences and Research Blood Bank ,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D.No.5-168, Ward No.6, Gitam University, Rushikonda, Visakhapatnam
",530045,0891 2524777,directorgims@gitam.edu,17.784938,83.374975
M/s. Gayatri Vidya Parishad Institute of Health Care and Medical Technology,Andhra Pradesh,VISAKHAPATNAM,Visakhapatnam ,"D. No.6-25, Maridi Valley, Marikavalasa, Madhurawada, Vishakapatnam
",530048,"0891 2793741, 0891 2590131",gvphospital@gmail.com,17.689433,83.211615
"Indian Red Cross Society Blood Bank, RCH-II",Andhra Pradesh,VIZIANAGARAM,Parvathipuram,"Area Hospital Premises, First Floor, Belagam, Parvathipuram
",535501,08963 222088,,18.781716,83.426752
District Headquarters Hospital Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"District Headquarters Hospital, Cantonment, Vizianagaram ",535003,,bloodbankdhvzm@gmail.com,18.110022,83.388433
Indian Red Cross Society Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 71/82, Near Ganesh Temple, Cantonment,  Vizianagaram",535003,08922 272700,"secretaryredcrossvizianagaram@gmail.com,",18.106658,83.395551
Srinivasa Nursing Home Blood Bank ,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"Ground Floor, Plot No. 06, Arundati Nagar, Opposite to Goods Shed, Cantonment, Vizianagaram",535002,08922 275513 ,,,
Maharaja Institute of Medical Sciences Blood Bank,Andhra Pradesh,VIZIANAGARAM,Vizianagaram,"D.No. 31-15, Nellimarla, Vizianagaram",535002,08922 244394,,,
ASN Raju Charitable Trust Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 24-1-1, R.K. Plaza (Sarovar complex), J. P. Raod, Bhimavaram
",534202,08816 225556,,16.54391,81.516237
Uddaraju Anandaraju Foundation Blood Bank,Andhra Pradesh,WEST GODAVARI,Bhimavaram,"D.No. 27-8-21/2, Sivaraopet, Bhimavaram",534202,"08816 230888, 08816 230878",anandabloodbank@gmail.com,16.543064,81.515731
M/s. Government Headquarters Hospital Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru,"Government Headquarters Hospital, Ground Floor, R.R. Peta, Eluru, West Godavari",534006,08812 220333,wgbloodbank@gmail.com,17.006153,81.782132
M/s. Indian Red Cross Society Component Blood Bank,Andhra Pradesh,WEST GODAVARI,Eluru," General Hospital Premises, Eluru, West Godavai
",534006,08812 224722,redcrosseluru@gmail.com,16.711919,81.094839
