Id,Name,Address,Contact_no,Email_ID,Lattitude,Longitude
58,Kolhapur Municipal Corporation Blood Bank,"C.T.S. 83 D-Ward, Near Kasba Gate Police, Chowky, Kolhapur
,Kolhapur-416002,KOLHAPUR,Maharashtra",918622229974,kmcbloodbank@ymail.com,16.698607,74.223891
59,Sanjeevan Blood Bank,"250/B/65  First Floor, Lucky Naresh Banglow, Opposite to Collector Office, Nagala Park, Kolhapur, 
,Kolhapur-416002,KOLHAPUR,Maharashtra",918337194709,ssfarakte@yahoo.in,16.706599,74.231346
60,Shri.R.R.Patil Shikashan Sheti sanshodhan Aani vikas sanstha Blood Bank,"M/s Adhar Blood Bank, 1st Floor, C.S. No. 16432 / 1, H No. 12/966, C/o. Dr. Dilip Joshi Hospital, Sambhaji Chowk, Rajaram Road, Ichalkaranji, Tal - Hatkanangle, Kolhapur,Kolhapur-416115,KOLHAPUR,Maharashtra",919445718716,adharbbi@gmail.com,16.680271,74.461733
61,Government Medical College General Hospital Blood Bank,"Blood Bank, Government Medical College & Hospital, Old Railway Station,  Gandhi Chowk, Latur,Latur-413512,LATUR,Maharashtra",918271906950,"bloodbankgmclatur@yahoo.co.in, csnrhmlatur@rediffmail.com",18.39451,76.578201
62,IRCS - Dr. Bhalchandra Blood Bank,"Red Cross Bhavan, Gandhi Market, Latur ,Latur-413512,LATUR,Maharashtra",918932722965,"ircslatur@gmail, bhalbloodbank@rediffmail.com",18.401208,76.580639
63,Smt. Saraswati Karad Blood Bank,"MIMSR Medical College and Y.C.R. Hospital, Vishwanath Puram,  Ambejogai Road, Latur,Latur-413512,LATUR,Maharashtra",919210787809,bloodbank@mimsr.edu.in,18.429485,76.577846
64,IRCS Nagappa Amberkhane Blood Bank,"Banshelki Road Near Nalegaon Railway Crossing Gate Udgir, Latur ,Latur-413517,LATUR,Maharashtra",918849738094,bloodbankudgir@yahoo.com,18.392306,77.106985
65,Arpan Blood Bank Latur,"H.No R-3-1030,  Old Sonawane Hospital, Near  Ashok Hotel, Main Road, Latur,Latur-413512,LATUR,Maharashtra",919690593524,balbhim.chavan@arpanbloodbank.org,18.408491,76.551573
66,Mauli Blood Bank,"Gayatri Hospital, Barshi Road, Latur ,Latur-413512,LATUR,Maharashtra",917183818079,maulibloodbanklatur@gmail.com,18.451173,73.89143
67,ESIC Model Hospital cum ODC Blood Bank,"Room No. 20/A, 1st Floor, ESIC Model Hospital cum ODC & PGIMSR, Central Road, M.I.D.C, Opposite to MIDC Police Station, Andheri (East), Mumbai ,Mumbai-400 093,MUMBAI,Maharashtra",917659750838,esicbloodbank.andheri93@gmail.com,19.118392,72.86724
68,Fortis Hospital Blood Bank,"Mulund Goregaon Link Road, Nahur , Mumbai ,Mumbai-400078,MUMBAI,Maharashtra",918419267608,bloodbank.mul@fortishealthcare.com,19.162122,72.942063
69,Masina Hospital Blood Bank,"Sant Savta Marg, Byculla (E) ,Mumbai-400027,MUMBAI,Maharashtra",918372031926,"bloodbankmasina@gmail.com, bloodbankmasina@rediffmail.com",18.974886,72.835711
70,N.  Wadia Maternity  Hospital Blood Bank,"Acharya Donde Marg, Parel, Mumbai,Mumbai-400012,MUMBAI,Maharashtra",918873280434,wadiabloodbank@gmail.com,19.003238,72.842837
71,West Coast Blood Bank,"Basement 101, Moon Building, 798, Mori Road, Mahim(W), Mumbai,Mumbai-400016,MUMBAI,Maharashtra",918471920619,westcoastbloodbank@gmail.com,19.042954,72.84073
72,Government Medical College Blood Bank Nagpur,"Model Blood Bank, 2nd Floor, Hospital Building, Government Medical College & Hospital, Nagpur  ,Nagpur-440003,NAGPUR,Maharashtra",918958487466,gmchbbngp@gmail.com,21.126097,79.097101
73,Indira Gandhi Medical College and Hospital Blood Bank,"IGMC Hospital, Central Avenue Road, Nagpur ,Nagpur-440018,NAGPUR,Maharashtra",919740319466,igmc@rediffmail.com,21.153917,79.092894
74,Daga Memorial Women Government Hospital Blood Bank,"Gandhibag, Nagpur,Nagpur-440002,NAGPUR,Maharashtra",919878679704,msdaga_WomenHosp@redifmail.com,21.151511,79.105434
75,Jeevan Jyoti Blood Bank and Component,"J P Chamber, Madhav Nagar, Dakshin Ambakshari Road  Nagpur,Nagpur-440010,NAGPUR,Maharashtra",918517882978,jjbb21@hotmail.com,21.123051,79.057149
76,Dr. Hegdewar Blood Bank,"2, Sitaram Smruti, West High Court Road, Laxmibhuvan Square, Audumbar Apartment, Dharmpeth, Nagpur ,Nagpur-440010,NAGPUR,Maharashtra",918203269780,hbbnagpur687@gmail.com,21.140579,79.060505
77,Sainath Blood Bank,"531,Jaiswal Building, Above R.K. Traders, Old shukrawari Road, Sakkardara Nagpur,Nagpur-440024,NAGPUR,Maharashtra",919368632364,sainathbloodbank@gmail.com,21.134294,79.076369
78,Ayush Blood Bank and component Lab,"9th Floor, A wing, 901-905, 910-912, Lokmat Building, Nagpur,Nagpur-440010,NAGPUR,Maharashtra",919228033051,ayush_bbc@rediffmail.com,21.135231,79.072978
79,Lifeline Blood Bank Components and Apherisis Centre Blood Bank,"Neeti Gaurav complex , 2nd Floor, Central Bazar Road, Lokmat Square, Ramdaspeth, Nagpur ,Nagpur-400010,NAGPUR,Maharashtra",919705150194,drwarbhe@gmail.com,21.138999,79.063093
80,Rainbow Blood Bank,"3rd Floor, 282, Rainbow Diagnostic Services Central Bazar Road, Ramdas Peth, Nagpur,Nagpur-440010,NAGPUR,Maharashtra",918625145073,rainbowbloodbank.nagpur@gmail.com,21.133584,79.072736
81,Indian Red Cross Society Blood Bank,"Parsi Anjuman Complex, Vazirabad, Nanded      ,Nanded-431602,NANDED,Maharashtra",918926116980,ircsnanded@gmail.com,17.399811,78.485456
82,Guru Gobindsinghji Blood Bank,"Geeta Bhavan 1 & 2 Floor, House No 3-1-366, Near Government, Opposite to Ayurvedic College, Bus Stand Road, Vazirabad, Nanded          ,Nanded-431601,NANDED,Maharashtra",919512328306,ggbloodbank@gmail.com,19.156029,77.309
83,Nanded Blood Bank,"Shivaji Nagar ,Opposite to Adhar Hospital, Nanded ,Nanded-431602,NANDED,Maharashtra",918506876388,nandedbloodbank@gmail.com,19.161264,77.304543
84,Hazur Saheb Blood Bank,"2nd Floor, Opposite to Bank of India, Sant Kripa Market, GG Road, Nanded ,Nanded-431601,NANDED,Maharashtra",917654749844,shs.bloodbanknanded@gmail.com,19.153093,77.318654
85,Civil Surgeon - District General Hospital Blood Bank,"Nandurbar, Railway Station Road Survey No.406, Civil Hospital Compound,  Sakri Road, Near Collector Office Nandurbar  ,Nandurbar-425412,NANDURBAR,Maharashtra",918869855773,"rmochndb@gmail.com, dponandurbar@mahasacs.org",21.33867,74.234768
86,Sahada Blood Bank - Shree Swami  Samartha Vaidyakiya  Shaikshanik and Sanshodhan Sanstha ,"C/o. 1st Floor, Shushrut Hospital, Khetiya Road, Survey 
No. 67/3, Plot No. 3, Sahada, Nandurbar,Nandurbar-425409,NANDURBAR,Maharashtra",917152447740,bb_shahada@yahoo.com,21.554798,74.472874
87,Jankalyan Rakta Pedhi,"Nandurbar,1st Floor, Vivekanand Hospital, Desaipura, Nandurbar ,Nandurbar-425412,NANDURBAR,Maharashtra",919296658766,jankalyanbbndb@gmail.com ,21.36433536,74.24463853
88,Malegaon Blood Bank,"2nd Floor, West End Complex, Satana Naka, Malegaon ,Malegaon-423203,NASHIK,Maharashtra",919846575349,"malegaonb@gmail.com, ",20.55474,74.524396
89,Seva Blood Bank,"Nilkanth Building, Satana Naka, Satana Road, Malegaon, Nashik,MALEGAON-423203,NASHIK,Maharashtra",918989889298,sevabloodbankmalegaon@gmail.com,20.552689,74.516643
90,Metro Blood Bank - District (Civil) Hospital Nashik,"District - Civil Hospital Blood Bank, Near Thakkar Bazaar,  Trimbak Naka, Nashik,Nashik-422001,NASHIK,Maharashtra",917714402005,"civilbloodbanknsk@gmail.com, ",19.996886,73.778198
91,Jankalyan Blood Bank,"3, Shree Nagar, Old Gangapur Naka, Gangapur Road, Nashik
,Nashik-422013,NASHIK,Maharashtra",917524441745,rssjan_nsk@rediffmail.com,20.008838,73.7702
92,Samta Blood Bank,"F-1, 1st Floor Suyojit Comercial Complex, Mumbai Agra Highway, Below Data Mastics, Mumbai Naka, Nashik 
,Nashik-422001,NASHIK,Maharashtra",917949158804,samtabloodbank@gmail.com,19.984791,73.782607
93,Shri Krishna Blood Bank,"Dr. Patange Hospital Building, Ajay Nagar Omerga, Omerga,  Osmanabad  ,Omerga-413606,OSMANABAD,Maharashtra",918407046607,dr.dbpatange@yahoo.com,17.83503,76.622149
94,"Civil Surgeon, General Hospital Blood Bank","Civil Hospital Osmanabad, Tqand, Osmanabad ,Osmanabad-413501,OSMANABAD,Maharashtra",919425318322,"bloodbankosmanabad@gmail.com, cs_osmanabad1@rediffmail.com",18.18077,76.034735
95,Civil Surgeon - District General Hospital Blood Bank,"Blood Bank Civil Surgeon, District General Hospital Blood Bank, Subhash Road, Parbhani
,Parbhani-414001,PARBHANI,Maharashtra",917223874502,bloodbankghp@gmail.com,19.271699,76.765032
96,Kanthak Sevabhavi Sanstha - New Life Blood  Bank,"Plot No 22, Survey No 389 and 394, Beside Gurudwara, Station Road, Parbhani ,Parbhani-431401,PARBHANI,Maharashtra",919623439489,newlifebloodbank@gmail.com,19.273124,76.782625
97,Indian Red Cross Society Blood Bank,"Indian Red Cross Society (IRCS), (Late Manikbai Chandulal Saraf) Blood Bank, Near Government Silver Jubilee Hospital, Patas Road, Baramati, Pune,Baramati-413102,PUNE,Maharashtra",917375172754,ircsbbbaramati@gmail.com,18.152597,74.574996
98,Sasoon Sarvopchar Hospital Blood Bank,"Ground Floor, Section 5, Opposite to Central Medical Stores, Station Road, Pune,Pune-411021,PUNE,Maharashtra",919488217233,bjmc.bloodbank@gmail.com,18.515846,73.858714
99,Jankalyan Raktapedhi Pune,"1003, Shukrawar Peth, Swargate - Saras Baugh Road, Near Natraj Hotel, Pune,Pune-411002,PUNE,Maharashtra",917512636887,janrakta@gmail.com,18.50092,73.857531
100,Indian Serological Institute Blood Bank,"21, Anand Baugh, Navi Peth, Near Vaikunth, Pune,Pune-411030,PUNE,Maharashtra",917786127789,isibloodbank@rediffmail.com,18.506291,73.84264
101,Akshay Blood Bank,"Survey No.10/1/3, Unnati Nagar, Bantar High School, Hadapsar, Pune,Pune-411028,PUNE,Maharashtra",918473218510,akshaybloodbankpune@gmail.com,18.47143,73.959674
102,Jehangir Hospital Blood Bank,"32, Sasoon Road, Pune ,Pune-411001,PUNE,Maharashtra",918392304985,bloodbank@jehangirhospital.com,18.530392,73.876808
103,Noble Hospital Blood Bank,"B-007, Basement C/o. Noble Hospital, 153 Magarpatta City Road, Hadapsar, Pune  ,Pune-411013,PUNE,Maharashtra",917101657317,"skrcorporate@yahoo.co.uk, noblebloodbank@yahoo.in",18.505035,73.927256
104,Pimpari Serological Institute Blood Bank,"Esteem Tower, opposite K.S.B. Pump, Pune-Mumbai Highway, Kharalwadi, Pimpari ,Pune-411018,PUNE,Maharashtra",919560591779,psibbpimpri@gmail.com,18.624322,73.807929
105,R.G Gholap Memorial Blood Bank,"Office No. 301, 3rd Floor Ashoka Centre, S. No - 47/14, Satara Road, Parvati, Pune,Pune-411009,PUNE,Maharashtra",918618491164,gholapbloodbank@gmail.com,18.487158,73.857098
106,District Civil Surgeon Blood Bank,"District Hospital Blood Bank, Civil Hospital Campus, Sea Face Road, Alibag  ,Alibag-402201,RAIGAD,Maharashtra",917349589580,bloodbankalibag@gmail.com,18.640782,72.871716
107,Kakasaheb Chitle Memorial Centre Sanchalit - Jankalyan Blood Bank,"C.S. No. 1651, Near Lokmanya Vyayamshala, Shiwaji Chowk, Mahad, Raigad,Mahad-402301,RAIGAD,Maharashtra",919819272287,jkrp_mahad@redifmail.com,18.082736,73.42265
108,Advanced Centre for Treatment Reasearch and Education in Cancer,"Owe Village, Sector 22, Plot No. 2, Kharghar, Navi Mumbai ,Navi Mumbai-410208,RAIGAD,Maharashtra",919790967324,transmed.dept@actrec.gov.in,19.065019,73.064507
109,M/s. Navi Mumbai Blood Bank,"Navi Mumbai Blood Bank, Vishwanath Bhavan, C-87, Sector 12, Kharghar, Navi Mumbai,Navi Mumbai-410 210,RAIGAD,Maharashtra",918683081635,navimumbaibb@gmail.com,19.034045,73.029533
110,Rotary Club New Panvel charitable Trust s Late Dr. B.V. Limaye Blood Bank,"Plot No-8, Sect.1, Khanda Colony, Mumbai Pune Road, New Panvel (W) ,Raigad-410206,RAIGAD,Maharashtra",917229932874,rotarybloodbank.newpanvel@gmail.com,19.008249,73.108321
111,Civil Surgeon - General Hospital Blood Bank,"Civil Hospital, Ratnagiri,Ratnagiri-415612,RATNAGIRI,Maharashtra",919753238952,bloodbank.ghr123@gmail.com,16.989126,73.298866
112,Shree Swami Samarth Blood Bank,"B.K.L.Walwalkar Hospital Diagnostic & Research Centre, Shree Kshetra Darvan, Chiplun, Ratnagiri,Ratnagiri-415606,RATNAGIRI,Maharashtra",917549320240,bloodbank@walawalkarhospital.com,17.399914,73.547448
113,Indian Red Cross Society Blood Bank,"Khareghat Road, Ratnagiri,Ratnagiri-415612,RATNAGIRI,Maharashtra",918360692869,redcrossratnagiri@rediffmail.com,17.019013,73.298977
114,Padmabhushan Vasantdada Patil Government Hospital Blood Bank,"Padmabhushan Vasantdada Patil Government Hospital , Blood Bank, Dr. Ambedkar Road, Sangli .                                         
,Sangli-416416,SANGLI,Maharashtra",917719758465,sanglicivilbb@gmail.com,16.852571,74.574678
115,Rajaram Bapu Blood Bank,"Islampur C.S. No. 99/1, Near Islampur Spiral CT-Scan,
Peth-Sangli Road
,Sangli-415409,SANGLI,Maharashtra",918375748304,rajarambapu.bloodbank@rediffmail.com,17.048399,74.251122
116,Vasantdada Patil Blood Bank and Haematology Research Centre,"AIP - Miraj, Mirasaheb Shopping Complex,  Opposite to City Police Station, Miraj, Sangli,Sangli-416410,SANGLI,Maharashtra",919916105223,svpbb1984@rediffmail.com,16.82132,74.649492
